Item,Key,Location,Retrieval Type,Plural
Service,name,.metadata.name,Child,services
Service,namespace,.metadata.namespace,Child,services
Service,labels,.metadata.labels,Child,services
Service,annotations,.metadata.annotations,Child,services
Service,selector,.spec.selector,Child,services
Service,type,.spec.type,Child,services
Service,ports name,.spec.ports.name,Child,services
Service,ports protocol,.spec.ports.protocol,Child,services
Service,ports port,.spec.ports.port,Child,services
Service,ports targetPort,.spec.ports.targetPort,Child,services
Service,sessionAffinity,.spec.sessionAffinity,Child,services
Service,LoadBalancer IP,.status.loadBalancer.ingress.ip,Child,services
Namespace,name,.metadata.name,Parent,namespaces
Namespace,labels,.metadata.labels,Parent,namespaces
Namespace,annotations,.metadata.annotations,Parent,namespaces
DaemonSet,name,.metadata.name,Parent,daemonsets
DaemonSet,namespace,.metadata.namespace,Parent,daemonsets
DaemonSet,labels,.metadata.labels,Parent,daemonsets
DaemonSet,annotations,.metadata.annotations,Parent,daemonsets
DaemonSet,selector,.spec.selector,Parent,daemonsets
DaemonSet,matchLabels,.spec.selector.matchLabels,Parent,daemonsets
DaemonSet,template,.spec.template,Parent,daemonsets
DaemonSet,labels (template),.spec.template.metadata.labels,Parent,daemonsets
deployment,name,.metadata.name,Parent,deployments
deployment,image,.spec.template.spec.containers.image, Child,deployments
deployment,namespace,.metadata.namespace,Parent,deployments
deployment,labels,.metadata.labels,Parent,deployments
deployment,annotations,.metadata.annotations,Parent,deployments
deployment,replicas,.spec.replicas,Parent,deployments
deployment,selector,.spec.selector,Parent,deployments
deployment,matchLabels,.spec.selector.matchLabels,Parent,deployments
HorizontalPodAutoscaler,name,.metadata.name,Child,hpa
HorizontalPodAutoscaler,namespace,.metadata.namespace,Child,hpa
HorizontalPodAutoscaler,scale target kind,.spec.scaleTargetRef.kind,Child,hpa
HorizontalPodAutoscaler,scale target name,.spec.scaleTargetRef.name,Child,hpa
HorizontalPodAutoscaler,min replicas,.spec.minReplicas,Child,hpa
HorizontalPodAutoscaler,max replicas,.spec.maxReplicas,Child,hpa
HorizontalPodAutoscaler,current replicas,.status.currentReplicas,Child,hpa
HorizontalPodAutoscaler,desired replicas,.status.desiredReplicas,Child,hpa
HorizontalPodAutoscaler,metric type,.spec.metrics.type,Child,hpa
HorizontalPodAutoscaler,metric name,.spec.metrics.resource.name,Child,hpa
HorizontalPodAutoscaler,target type,.spec.metrics.resource.target.type,Child,hpa
HorizontalPodAutoscaler,target average utilization,.spec.metrics.resource.target.averageUtilization,Child,hpa
HorizontalPodAutoscaler,target average value,.spec.metrics.resource.target.averageValue,Child,hpa
HorizontalPodAutoscaler,target value,.spec.metrics.resource.target.value,Child,hpa
Ingress,name,.metadata.name,Child,ingress
Ingress,namespace,.metadata.namespace,Child,ingress
Ingress,labels,.metadata.labels,Child,ingress
Ingress,annotations,.metadata.annotations,Child,ingress
Ingress,Ingress Class Name,.spec.ingressClassName,Child,ingress
Ingress,host,.spec.rules.host,Child,Ingress
Ingress,http path,.spec.rules.http.paths.path,Child,ingress
Ingress,path type,.spec.rules.http.paths.pathType,Child,ingress
Ingress,backend service name,.spec.rules.http.paths.backend.service.name,Child,ingress
Ingress,backend service port,.spec.rules.http.paths.backend.service.port,Child,ingress
pod,name,.metadata.name,Child,pods
pod,namespace,.metadata.namespace,Child,pods
pod,owner kind,metadata.ownerReferences.kind,Child,pods
